
2020-01-26 09:33:42 INFO: Welcome to Tender Edit!
2020-01-26 09:33:42 DEBUG: Reading object file "dist/settings.json"
2020-01-26 09:33:42 DEBUG: Loding config file "plugins.conf"
2020-01-26 09:33:42 DEBUG: Loding config file "log.conf"
2020-01-26 09:33:42 DEBUG: Loading English dictionary
2020-01-26 09:33:44 DEBUG: Loading info page "users/Patricia/2020:1/index.html"
2020-01-26 09:33:55 DEBUG: Parsing XML file "users/Patricia/2020:1/production.xml"
2020-01-26 09:34:00 DEBUG: Loading info page "users/Patricia/jobinfo/70140000.html"
2020-01-26 09:34:03 DEBUG: Loading info page "users/Patricia/jobinfo/70130000.html"
2020-01-26 09:34:03 DEBUG: Loading info page "users/Patricia/jobinfo/70130000.html"
2020-01-26 09:34:06 DEBUG: Loading info page "users/Patricia/jobinfo/70140000.html"
2020-01-26 09:34:06 DEBUG: Loading info page "users/Patricia/jobinfo/70140000.html"
2020-01-26 09:34:07 DEBUG: Loading info page "users/Patricia/jobinfo/70130000.html"
2020-01-26 09:34:07 DEBUG: Loading info page "users/Patricia/jobinfo/70130000.html"
